reporting_starts,reporting_ends,campaign_name,adset_name,ad_name,amount_spent,results,link_clicks,impressions,reach,cpm,quality_ranking,engagement_ranking,conversion_ranking
2025-10-29,2025-10-29,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 005,0.0,,0.0,1.0,1.0,0.0,-,-,-
2025-10-29,2025-10-29,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Video 005,0.01,,0.0,1.0,1.0,10.0,-,-,-
2025-10-30,2025-10-30,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl M8 LP-Ver1 Video 005,0.41,,2.0,5.0,5.0,82.0,-,-,-
2025-10-30,2025-10-30,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 004,0.01,,0.0,4.0,4.0,2.5,-,-,-
2025-10-30,2025-10-30,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 005,0.13,,0.0,8.0,8.0,16.25,-,-,-
2025-10-30,2025-10-30,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Image 003,0.0,,0.0,4.0,4.0,0.0,-,-,-
2025-10-30,2025-10-30,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Image 004,0.59,1.0,3.0,8.0,8.0,73.75,-,-,-
2025-10-30,2025-10-30,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Video 003,0.14,,0.0,10.0,9.0,14.0,-,-,-
2025-10-31,2025-10-31,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 004,0.72,,1.0,24.0,23.0,30.0,-,-,-
2025-10-31,2025-10-31,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 005,7.42,,3.0,77.0,73.0,96.363636,-,-,-
2025-10-31,2025-10-31,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Video 003,0.35,,0.0,13.0,13.0,26.923077,-,-,-
2025-10-31,2025-10-31,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Image 003,0.07,,0.0,20.0,20.0,3.5,-,-,-
2025-10-31,2025-10-31,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Image 004,1.17,,0.0,63.0,62.0,18.571429,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Image 003,0.06,,2.0,27.0,26.0,2.222222,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Image 004,0.03,,0.0,6.0,6.0,5.0,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Image 005,0.38,,3.0,85.0,81.0,4.470588,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Video 003,1.96,,18.0,274.0,271.0,7.153285,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Video 005,10.14,,88.0,991.0,925.0,10.232089,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver2,011125 MY Daryl Movexercise8 LP-Ver2 Image 004,0.0,,0.0,3.0,3.0,0.0,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver2,011125 MY Daryl Movexercise8 LP-Ver2 Image 005,0.4,,6.0,73.0,68.0,5.479452,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver2,011125 MY Daryl Movexercise8 LP-Ver2 Video 003,3.7,,26.0,433.0,415.0,8.545035,-,-,-
2025-11-01,2025-11-01,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver2,011125 MY Daryl Movexercise8 LP-Ver2 Video 005,1.52,,15.0,142.0,134.0,10.704225,-,-,-
2025-11-01,2025-11-01,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 003,0.03,,0.0,2.0,2.0,15.0,-,-,-
2025-11-01,2025-11-01,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 004,8.35,,11.0,154.0,151.0,54.220779,-,-,-
2025-11-01,2025-11-01,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Image 005,35.91,4.0,40.0,947.0,917.0,37.919747,-,-,-
2025-11-01,2025-11-01,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver1,291025 MY Daryl Movexercise8 LP-Ver1 Video 003,1.51,,2.0,17.0,17.0,88.823529,-,-,-
2025-11-01,2025-11-01,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Image 003,0.9,,0.0,51.0,49.0,17.647059,-,-,-
2025-11-01,2025-11-01,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Image 004,1.77,1.0,6.0,69.0,67.0,25.652174,-,-,-
2025-11-01,2025-11-01,291025 MY Daryl Movexercise8 LEADS,291025 MY Daryl Movexercise8 LP-Ver2,291025 MY Daryl Movexercise8 LP-Ver2 Video 005,0.15,,0.0,3.0,3.0,50.0,-,-,-
2025-11-02,2025-11-02,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Image 004,0.08,,0.0,12.0,12.0,6.666667,-,-,-
2025-11-02,2025-11-02,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Image 005,0.07,,0.0,17.0,17.0,4.117647,-,-,-
2025-11-02,2025-11-02,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Video 003,0.47,,0.0,58.0,55.0,8.103448,-,-,-
2025-11-02,2025-11-02,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver1,011125 MY Daryl Movexercise8 LP-Ver1 Video 005,3.18,,37.0,339.0,322.0,9.380531,-,-,-
2025-11-02,2025-11-02,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver2,011125 MY Daryl Movexercise8 LP-Ver2 Image 003,0.0,,0.0,1.0,1.0,0.0,-,-,-
2025-11-02,2025-11-02,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver2,011125 MY Daryl Movexercise8 LP-Ver2 Image 004,0.09,,0.0,10.0,8.0,9.0,-,-,-
2025-11-02,2025-11-02,011125 MY Daryl Movexercise8 Traffic,011125 MY Daryl Movexercise8 LP-Ver2,011125 MY Daryl Movexercise8 LP-Ver2 Image 005,0.07,,0.0,7.0,6.0,10.0,-,-,-
